Month,Date,Hour,Minute,temp_avg,light_avg,humidity_avg,latitude,longitude,Result
12,16,1,55,27.4,97.7,38.4,-37.8199043,144.9404851,Need irrigation
12,16,2,0,30,98.1,31.6,-37.8195002,144.9418888,Need irrigation
12,16,2,5,28.1,97.6,34.1,-37.8199043,144.9404851,Need irrigation
12,16,2,5,31.6,97.2,28.9,-37.8203537,144.9404816,Need irrigation
12,16,2,15,31.9,97.3,23.5,-37.8203537,144.9404816,Need irrigation
12,16,2,30,31.6,96.1,14.1,-37.8203537,144.9404816,Need irrigation
12,16,2,30,31.6,97.5,12.7,-37.8195002,144.9418888,Need irrigation
12,16,2,35,31,96.7,8.1,-37.8199043,144.9404851,Need irrigation
12,16,2,40,31.3,96,10.5,-37.8203537,144.9404816,Need irrigation
12,16,2,50,32.3,98.4,12.2,-37.8195002,144.9418888,Need irrigation
12,16,2,55,31.3,97.3,9.4,-37.8199043,144.9404851,Need irrigation
12,16,3,0,32.6,97.7,11.4,-37.8203537,144.9404816,Need irrigation
12,16,3,0,32.3,97.4,11.4,-37.8195002,144.9418888,Need irrigation
12,16,3,5,31.6,96.8,9.2,-37.8199043,144.9404851,Need irrigation
12,16,3,10,31.9,96.5,10,-37.8203537,144.9404816,Need irrigation
12,16,3,10,32.6,97.8,12.8,-37.8146097,144.9790177,Need irrigation
12,16,3,10,33.5,97.4,14.9,-37.813073,144.9804061,Need irrigation
12,16,3,15,32.3,95.2,10.9,-37.8149218,144.9822582,Need irrigation
12,16,3,15,30.6,96.2,11.2,-37.8199043,144.9404851,Need irrigation
12,16,3,15,31,94.8,10.8,-37.8148084,144.980999,Need irrigation
12,16,3,20,31.3,95.5,12.5,-37.8203537,144.9404816,Need irrigation
12,16,3,20,31.3,97.9,12.8,-37.8195002,144.9418888,Need irrigation
12,16,3,30,32.3,97.8,10.8,-37.8203537,144.9404816,Need irrigation
12,16,3,30,31.3,92.5,9.5,-37.8134078,144.9794923,Need irrigation
12,16,3,30,32.3,97.5,13,-37.8195002,144.9418888,Need irrigation
12,16,3,35,31.3,91.5,13.9,-37.813073,144.9804061,Need irrigation
12,16,3,35,30.6,95.2,11.9,-37.8149218,144.9822582,Need irrigation
12,16,3,35,31.9,97.4,7.5,-37.8199043,144.9404851,Need irrigation
12,16,3,40,31.3,96,12,-37.8148084,144.980999,Need irrigation
12,16,3,40,31.9,96.3,10.9,-37.8203537,144.9404816,Need irrigation
12,16,3,40,31,92.9,8.4,-37.8134078,144.9794923,Need irrigation
12,16,3,40,30,94.5,11.1,-37.8146097,144.9790177,Need irrigation
12,16,3,45,31.6,97.5,13.5,-37.813073,144.9804061,Need irrigation
12,16,3,45,31.3,97.4,13,-37.8149218,144.9822582,Need irrigation
12,16,3,45,31.3,96.4,10,-37.8199043,144.9404851,Need irrigation
12,16,3,50,31.6,95.9,13.1,-37.8203537,144.9404816,Need irrigation
12,16,3,50,31.9,98.6,11.4,-37.8195002,144.9418888,Need irrigation
12,16,4,0,31.3,97.5,7.8,-37.8199043,144.9404851,Need irrigation
12,16,4,0,32.9,96.8,10.9,-37.8203537,144.9404816,Need irrigation
12,16,4,0,32.6,97.4,11.4,-37.8195002,144.9418888,Need irrigation
12,16,4,10,31,96.2,10.6,-37.8199043,144.9404851,Need irrigation
12,16,4,10,31,95.8,11.7,-37.8203537,144.9404816,Need irrigation
12,16,4,10,31.9,98.6,11.6,-37.8195002,144.9418888,Need irrigation
12,16,4,20,31.3,96.3,9.2,-37.8199043,144.9404851,Need irrigation
12,16,4,20,31,94.6,12,-37.8203537,144.9404816,Need irrigation
12,16,4,25,31.3,96.7,11.7,-37.8195002,144.9418888,Need irrigation
12,16,4,30,30.6,96.3,9.2,-37.8199043,144.9404851,Need irrigation
12,16,4,30,31,95.5,12.8,-37.8203537,144.9404816,Need irrigation
12,16,4,35,31.3,97,11.9,-37.8195002,144.9418888,Need irrigation
12,16,4,35,30,95.1,11.2,-37.8146097,144.9790177,Need irrigation
12,16,4,35,31.3,91.6,12.8,-37.813073,144.9804061,Need irrigation
12,16,4,35,30,95.2,11.4,-37.8149218,144.9822582,Need irrigation
12,16,4,40,30.3,96.4,10,-37.8199043,144.9404851,Need irrigation
12,16,4,40,30.3,95.5,11.4,-37.8148084,144.980999,Need irrigation
12,16,4,40,30.3,97.7,10.6,-37.8203537,144.9404816,Need irrigation
12,16,4,40,30.3,91.5,8.7,-37.8134078,144.9794923,Need irrigation
12,16,4,45,31,97.2,12.2,-37.8195002,144.9418888,Need irrigation
12,16,4,45,29.4,94,10.9,-37.8146097,144.9790177,Need irrigation
12,16,4,45,30.6,88.5,15,-37.813073,144.9804061,Need irrigation
12,16,4,45,29.7,93.8,10.5,-37.8149218,144.9822582,Need irrigation
12,16,4,50,30.6,96.8,6.4,-37.8199043,144.9404851,Need irrigation
12,16,4,50,29.4,95.1,11.4,-37.8148084,144.980999,Need irrigation
12,16,4,50,30,92.1,7.9,-37.8134078,144.9794923,Need irrigation
12,16,4,55,30.3,96.5,11.6,-37.8195002,144.9418888,Need irrigation
12,16,4,55,29.4,93.1,11.4,-37.8146097,144.9790177,Need irrigation
12,16,4,55,30,87.5,14.6,-37.813073,144.9804061,Need irrigation
